 Syrian Arab Republic,19.9,,22.3,,22.9,,20.4,,,,,,,,,,
 Tajikistan,,,,,,,0.5,,1,,1.4,,1.3,,1.2,,1.1
 Tanzania (United Republic of),0,,0,,0,,0.8,,2.9,,4,,3.6,,2.8,,2
 Thailand,1.1,,0.9,,2.5,,4.5,,3.7,,3.7,,3.8,,3.7,,3.4
 The former Yugoslav Republic of Macedonia,,,0.9,,0.6,,0.9,,2.5,,3,,2.9,,2.2,,2.2
 Togo,5.5,,12.2,,8.3,,6.2,,8,,8.7,,10.6,,9.1,,7.8
 Tonga,0.1,,0.1,,0,,0,,0.1,,0.1,,0.1,,0.1,,0.1
 Trinidad and Tobago,21.1,,14.6,,23.4,,47.7,,32,,32.8,,26.5,,24.3,,13.4
 Tunisia,3.1,,2.5,,3.5,,4.1,,5.8,,5.4,,5.4,,4.8,,3.8
 Turkey,0.3,,0.2,,0.2,,0.2,,0.3,,0.4,,0.4,,0.3,,0.3
 Turkmenistan,,,,,,,,,32.5,,35.7,,,,,,
 Uganda,15.7,,19.6,,12.1,,14.4,,10.8,,12.6,,12.7,,12.3,,11.5
 Ukraine,,,2,,4.3,,5.4,,5.5,,5.8,,4.1,,3.9,,3.2
 United Arab Emirates,,,,,,,13.4,,10.4,,12.2,,11.7,,11,,9.2
 United Kingdom,1.2,,1.1,,1.8,,1.6,,1.3,,1.2,,1,,0.8,,0.6
 United States,0.8,,0.5,,0.7,,1.1,,0.8,,1,,0.9,,0.8,,0.7
 Uruguay,1.3,,0.5,,0,,0.9,,2.9,,2,,1.4,,1.4,,2.6
 Uzbekistan,,,,,36.2,,,,19.4,,20.6,,16,,13.8,,9
 Vanuatu,0,,0,,0,,0,,0,,0,,0,,0,,0
 Venezuela (Bolivarian Republic of),16.4,,9.9,,11.8,,19.7,,8.8,,14.7,,11.6,,,,
 Viet Nam,10.9,,7.6,,9.2,,13.5,,9.9,,11.1,,6.8,,5.5,,4
 Yemen,11,,24.9,,28.2,,28.3,,15.5,,16.1,,9.8,,8.1,,
 Zambia,8.8,,4.8,,0.5,,5.1,,12.3,,12.2,,10.3,,10.1,,8.9
 Zimbabwe,0.9,,1.8,,0.3,,2.5,,3.9,,6,,5.5,,3.9,,3.8
