 Suriname,5.8,,6,,6.3,,6.2,,6.2,,6.2,,
 Sweden,1.4,,1.4,,1.4,,1.4,,1.4,,1.5,,1.5
 Switzerland,1.4,,1.5,,1.4,,1.3,,1.3,,1.3,,1.4
 Tanzania (United Republic of),9.3,,10,,10.8,,11,,11.4,,11.5,,
 Thailand,3.6,,3.7,,4.1,,4.3,,4.3,,4.4,,4.5
 The former Yugoslav Republic of Macedonia,5.3,,5,,5,,5.1,,5.1,,5.1,,
 Togo,6.8,,6.8,,7.5,,7.2,,7.3,,7.2,,6.8
 Trinidad and Tobago,1.4,,2.1,,3.4,,3.5,,3.8,,4,,
 Tunisia,3.6,,3.6,,3.7,,3.7,,3.7,,3.8,,3.9
 Turkey,4,,3.5,,3.7,,3.6,,3.6,,3.7,,3.8
 Uganda,4.4,,4.5,,5,,5.6,,5.3,,5.2,,
 Ukraine,5.5,,5.9,,5.6,,5.5,,5.3,,5.2,,
 United Kingdom,1.2,,1.1,,1.2,,1.2,,1.2,,1.2,,1.2
 United States,1,,1,,1,,1,,1,,1,,1
 Uruguay,2.8,,2.8,,3,,3.1,,3.1,,3.1,,3.1
 Venezuela (Bolivarian Republic of),2.1,,2.8,,3.5,,3.6,,3.7,,4.1,,4.5
 Yemen,,,7.2,,7.9,,7.5,,7.5,,7.6,,
 Zambia,11.5,,11.6,,10.2,,9.8,,10.1,,10.1,,
