 Rwanda,,,,,4.9,,,,,,,,,
 Saint Kitts and Nevis,6.6,,16.3,,40.1,,64.2,,33.6,,,,,
 Saint Lucia,14.7,,24.8,,24.8,,,,21.6,,,,,
 Saint Vincent and the Grenadines,18.5,,21.1,,22.9,,19.2,,25.6,,,,,
 Samoa,,,,,8.6,,,,,,3.2,,,
 San Marino,,,0,,0,,0,,,,,,,
 Sao Tome and Principe,,,,,3.5,,3.4,,,,,,,
 Saudi Arabia,,,,,,,,,6.2,,,,,
 Senegal,,,,,,,,,7.9,,,,,
 Serbia,2.4,,1.6,,1.4,,1.5,,1.2,,1.6,,1.3,
 Seychelles,,,3.4,,2.1,,,,,,,,,
 Sierra Leone,,,2,,2.8,,3.2,,1.9,,,,,
 Singapore,0.9,,0.5,,0.4,,0.3,,0.2,,0.3,,0.3,
 Slovakia,2.7,,2,,1.6,,1.8,,1.4,,1.4,,1.1,
 Slovenia,1.8,,1,,0.7,,0.8,,0.7,,0.6,,0.7,
 Solomon Islands,,,5.5,,,,,,,,,,,
 Somalia,,,,,,,,,5.6,,,,,
 South Africa,48.5,,38.3,,30.9,,29.9,,30.8,,31.9,,33,
 South Sudan,,,,,,,,,13.9,,,,,
 Spain,1.4,,1.2,,0.8,,0.8,,0.8,,0.7,,0.7,
 Sri Lanka,,,6.3, c,3.8, c,3.6, c,3.3, c,2.9, c,,
 Sudan,,,,,,,,,6.5,,,,,
 Suriname,,,,,,,,,9.5,,,,,
 Swaziland,,,13.8,,17.4,,,,,,,,,
 Sweden,1.1,,0.9,,0.1,,0.9,,0.7,,0.9,,0.9,
 Switzerland,0.1,,1,,0.7,,0.6,,0.6,,0.7,,0.5,
 Syrian Arab Republic,2.2,,2.4,,2.2,,,,,,,,,
 Tajikistan,,,,,2,,1.9,,1.3,,1.4,,,
 Tanzania (United Republic of),,,,,,,,,7.9,,,,,
 Thailand,8.2,,7.3,,5.5,,4.9,,4.9,,4.3,,3.9,
 The former Yugoslav Republic of Macedonia,2.3,,2.2,,2.1,,1.5,,1.4,,1.1,,1.6,
 Timor-Leste,,,4.6,,3.7,,,,,,,,,
 Togo,,,,,,,,,9.2,,,,,
 Tonga,1,,4,,0.1,,1.9,,0.1,,,,,
 Trinidad and Tobago,9.5,,29.8,,35.6,,26.4,,28.3,,30.3,,25.9,
 Tunisia,,,2.6,,2.7,,,,3.1,,,,,
 Turkey,,,4.9,,4.2,,4.2,,4.3,,,,,
 Turkmenistan,,,,,,,,,4.3,,,,,
 Tuvalu,,,0,,10.2,,10.2,,20.3,,,,,
 Uganda,,,8.9,,9.5,,11,,11.5,,10.5,,11.8,
 Ukraine,,,6.5,,4.4,,,,,,,,,
 United Arab Emirates,,,,,0.8,,0.6,,0.8,,0.6,,0.7,
 United Kingdom,1.7,,1.5,,1.2,,1,,1,,0.9,,,
 United States,5.5,,,,4.8,,4.7,,4.7,,3.9,,,
 Uruguay,6.4,,5.7,,6.1,,5.9,,7.9,,7.6,,7.8,
 Uzbekistan,,,,,,,,,3.2,,,,,
 Vanuatu,,,,,,,,,2.9,,,,,
 Venezuela (Bolivarian Republic of),32.8,,37.2,,45.1,,47.9,,53.8,,,,62,
 Viet Nam,,,1.3,,1.5,,1.5,,,,,,,
 Yemen,3.9,,4.6,,4.7,,5.7,,6.5,,6.7,,,
 Zambia,,,,,5.8,,,,,,,,,
 Zimbabwe,,,10.4,,5.1,,,,6.7,,,,,
